date,close,open,high,low
2023-08-24,13463.97,13834.31,13834.69,13462.84
2023-08-25,13590.65,13514.37,13633.42,13376.35
2023-08-28,13705.13,13695.36,13735.98,13626.64
2023-08-29,13943.76,13687.23,13959.81,13677.06
2023-08-30,14019.31,13961.77,14050.82,13924.20
2023-08-31,14034.97,14041.54,14114.67,14010.48
2023-09-01,14031.81,14129.96,14149.62,13982.42
2023-09-05,14020.95,13994.54,14060.85,13945.65
2023-09-06,13872.47,13988.81,14001.95,13802.42
2023-09-07,13748.83,13675.11,13774.63,13642.47
2023-09-08,13761.53,13754.71,13843.37,13733.18
2023-09-11,13917.89,13884.03,13937.47,13805.13
2023-09-12,13773.61,13858.94,13913.60,13763.69
2023-09-13,13813.59,13822.32,13868.57,13733.82
2023-09-14,13926.05,13889.76,13957.57,13810.66
2023-09-15,13708.33,13889.20,13895.75,13684.24
2023-09-18,13710.24,13669.96,13751.28,13663.46
2023-09-19,13678.19,13649.44,13705.15,13578.87
2023-09-20,13469.13,13710.26,13727.81,13467.28
2023-09-21,13223.98,13328.06,13362.23,13222.56
2023-09-22,13211.81,13287.17,13353.22,13200.64
2023-09-25,13271.32,13172.54,13277.83,13132.00
2023-09-26,13063.61,13180.96,13199.13,13033.40
2023-09-27,13092.85,13115.36,13156.37,12963.16
2023-09-28,13201.28,13043.37,13270.97,13025.11
2023-09-29,13219.32,13337.71,13382.98,13177.09
2023-10-02,13307.77,13217.98,13364.03,13204.08
2023-10-03,13059.47,13229.68,13280.04,13008.60
2023-10-04,13236.01,13092.92,13258.76,13072.51
2023-10-05,13219.83,13228.12,13251.18,13087.57
2023-10-06,13431.34,13127.68,13472.27,13099.03
2023-10-09,13484.24,13326.22,13509.30,13277.48
2023-10-10,13562.84,13505.81,13659.63,13491.81
2023-10-11,13659.68,13619.21,13671.11,13549.29
2023-10-12,13574.22,13672.47,13714.14,13491.56
2023-10-13,13407.23,13613.59,13619.54,13361.85
2023-10-16,13567.98,13453.81,13598.05,13447.17
2023-10-17,13533.75,13419.87,13602.25,13364.74
2023-10-18,13314.30,13439.68,13499.74,13275.30
2023-10-19,13186.18,13354.80,13404.73,13157.33
2023-10-20,12983.81,13157.77,13177.35,12977.43
2023-10-23,13018.33,12930.85,13143.22,12848.83
2023-10-24,13139.87,13084.99,13170.39,13022.85
2023-10-25,12821.22,13039.86,13042.52,12804.30
2023-10-26,12595.61,12768.97,12818.14,12543.86
2023-10-27,12643.01,12718.69,12772.43,12600.57
2023-10-30,12789.48,12750.47,12842.96,12691.56
2023-10-31,12851.24,12786.62,12859.40,12697.04
2023-11-01,13061.47,12887.06,13072.42,12875.20
2023-11-02,13294.19,13230.49,13302.18,13177.64
2023-11-03,13478.28,13362.85,13520.28,13344.73
2023-11-06,13518.78,13514.08,13551.62,13435.99
2023-11-07,13639.86,13555.79,13675.46,13516.56
2023-11-08,13650.41,13660.22,13684.87,13573.58
2023-11-09,13521.45,13693.70,13697.82,13506.02
2023-11-10,13798.11,13571.19,13802.53,13556.35
2023-11-13,13767.74,13745.96,13805.11,13687.78
2023-11-14,14094.38,14015.37,14124.06,14003.14
2023-11-15,14103.84,14147.27,14194.36,14060.70
2023-11-16,14113.67,14066.88,14130.45,14033.79
2023-11-17,14125.48,14101.44,14154.32,14063.93
2023-11-20,14284.53,14134.75,14309.80,14134.20
2023-11-21,14199.98,14217.23,14237.50,14146.31
2023-11-22,14265.86,14283.82,14359.61,14226.63
2023-11-24,14250.85,14238.03,14270.28,14214.13
2023-11-27,14241.02,14239.31,14305.71,14205.24
2023-11-28,14281.76,14224.63,14303.65,14195.72
2023-11-29,14258.49,14367.11,14423.22,14247.89
2023-11-30,14226.22,14265.05,14289.20,14127.05
2023-12-01,14305.03,14181.35,14311.95,14135.00
2023-12-04,14185.49,14168.66,14197.52,14058.52
2023-12-05,14229.91,14126.40,14285.66,14121.76
2023-12-06,14146.71,14325.62,14327.63,14138.51
2023-12-07,14339.99,14230.43,14353.11,14220.87
2023-12-08,14403.97,14279.46,14416.92,14264.96
2023-12-11,14432.49,14340.13,14436.08,14324.57
2023-12-12,14533.40,14423.01,14533.40,14385.39
2023-12-13,14733.96,14555.68,14743.55,14517.52
2023-12-14,14761.56,14798.72,14855.62,14642.23
2023-12-15,14813.92,14797.46,14848.40,14753.15
2023-12-18,14905.19,14814.02,14938.04,14811.82
2023-12-19,15003.22,14923.02,15003.80,14921.60
2023-12-20,14777.94,14973.36,15069.29,14776.29
2023-12-21,14963.87,14923.14,14970.81,14837.47
2023-12-22,14992.97,15006.18,15047.19,14927.12
2023-12-26,15074.57,15028.69,15101.18,15024.06
2023-12-27,15099.18,15089.66,15114.08,15051.67
2023-12-28,15095.14,15142.09,15150.07,15087.22
2023-12-29,15011.35,15099.20,15111.41,14955.37
2024-01-02,14765.94,14873.70,14887.80,14682.38
2024-01-03,14592.21,14641.47,14694.58,14577.44
2024-01-04,14510.30,14532.23,14632.77,14504.78
2024-01-05,14524.07,14500.11,14625.19,14477.57
2024-01-08,14843.77,14564.47,14846.90,14560.20
2024-01-09,14857.71,14744.13,14894.32,14716.71
2024-01-10,14969.65,14877.70,14998.20,14842.70
2024-01-11,14970.18,15020.95,15063.61,14800.38
2024-01-12,14972.76,15001.01,15047.25,14931.88
2024-01-16,14944.35,14908.26,15004.35,14863.81
2024-01-17,14855.62,14814.77,14865.76,14706.23
2024-01-18,15055.65,14994.52,15066.81,14911.11
2024-01-19,15310.97,15122.38,15310.97,15087.20
2024-01-22,15360.29,15393.05,15438.85,15333.63
2024-01-23,15425.94,15391.41,15432.35,15337.23
2024-01-24,15481.92,15560.61,15629.07,15468.91
2024-01-25,15510.50,15555.62,15597.25,15430.68
2024-01-26,15455.36,15474.85,15538.84,15433.04
2024-01-29,15628.04,15470.66,15630.58,15449.87
2024-01-30,15509.90,15628.04,15619.23,15484.67
2024-01-31,15164.01,15324.19,15405.55,15158.49
2024-02-01,15361.64,15254.02,15372.13,15208.88
2024-02-02,15628.95,15403.16,15664.21,15366.78
2024-02-05,15597.68,15613.99,15637.88,15471.68
2024-02-06,15609.00,15638.19,15652.75,15515.25
2024-02-07,15756.64,15690.35,15770.68,15645.81
2024-02-08,15793.71,15762.23,15813.27,15739.18
2024-02-09,15990.66,15842.38,16007.29,15831.76
2024-02-12,15942.55,15980.62,16080.07,15917.87
2024-02-13,15655.60,15598.88,15770.42,15551.44
2024-02-14,15859.15,15781.71,15865.51,15683.94
2024-02-15,15906.17,15865.30,15911.22,15779.72
2024-02-16,15775.65,15910.43,15917.41,15752.02
2024-02-20,15630.78,15679.84,15730.47,15508.50
2024-02-21,15580.87,15532.12,15583.68,15451.65
2024-02-22,16041.62,15904.48,16061.82,15869.24
2024-02-23,15996.82,16094.80,16134.22,15954.50
2024-02-26,15976.25,16014.45,16054.90,15973.90
2024-02-27,16035.30,16013.98,16046.10,15940.51
2024-02-28,15947.74,15969.14,16003.56,15924.72
2024-02-29,16091.92,16059.34,16115.96,15931.70
2024-03-01,16274.94,16109.83,16302.24,16096.60
2024-03-04,16207.51,16264.21,16289.06,16199.06
2024-03-05,15939.59,16077.74,16087.56,15862.63
2024-03-06,16031.54,16092.00,16128.56,15956.66
2024-03-07,16273.38,16147.32,16309.02,16096.01
2024-03-08,16085.11,16322.10,16449.70,16059.50
2024-03-11,16019.27,16052.63,16085.95,15978.04
2024-03-12,16265.64,16116.98,16275.45,15992.98
