ticker,date,open,high,low,close
SYRUP,2023-06-15,5.63049,5.71297,5.59634,5.71297
SYRUP,2023-06-16,5.67923,5.71322,5.52631,5.64154
SYRUP,2023-06-17,5.65758,5.69564,5.57476,5.6137
SYRUP,2023-06-18,5.60165,5.63382,5.57627,5.60771
SYRUP,2023-06-19,5.62148,5.63331,5.57638,5.6292
SYRUP,2023-06-20,5.63169,5.97914,5.62863,5.97896
SYRUP,2023-06-21,5.9759,6.60066,5.96087,6.42484
SYRUP,2023-06-22,6.4057,6.51813,6.35713,6.43835
SYRUP,2023-06-23,6.43435,6.46842,6.10938,6.38476
SYRUP,2023-06-24,6.39064,6.42398,6.31065,6.38202
SYRUP,2023-06-25,6.40697,6.65579,6.35411,6.63632
SYRUP,2023-06-26,6.59291,6.71848,6.58192,6.71648
SYRUP,2023-06-27,6.71054,7.05699,6.7012,7.05699
SYRUP,2023-06-28,7.02233,7.10214,6.50135,6.80686
SYRUP,2023-06-29,6.79966,6.96802,6.74212,6.90303
SYRUP,2023-06-30,6.9101,7.00962,6.89214,6.97863
SYRUP,2023-07-01,6.93957,7.01165,6.93492,6.95893
SYRUP,2023-07-02,7.00693,7.01349,6.09237,6.15662
SYRUP,2023-07-03,6.10661,6.25881,6.09176,6.19343
SYRUP,2023-07-04,6.18549,6.38972,6.15625,6.3444
SYRUP,2023-07-05,6.36934,6.38828,6.06061,6.12392
SYRUP,2023-07-06,6.13498,6.48952,6.06061,6.20944
SYRUP,2023-07-07,6.25875,6.43239,6.18212,6.41603
SYRUP,2023-07-08,6.26756,6.26963,6.20499,6.26006
SYRUP,2023-07-09,6.20681,6.3362,6.20374,6.31307
SYRUP,2023-07-10,6.32814,6.52765,6.226,6.48745
SYRUP,2023-07-11,6.47665,6.52824,6.45613,6.50313
SYRUP,2023-07-12,6.47026,6.549,6.31537,6.34349
SYRUP,2023-07-13,6.33981,6.64751,6.31575,6.59057
SYRUP,2023-07-14,6.62265,7.152,6.58196,6.70028
SYRUP,2023-07-15,6.65046,6.80004,6.63038,6.72995
SYRUP,2023-07-16,6.76796,6.87182,6.72695,6.80813
SYRUP,2023-07-17,6.79219,6.95274,6.661,6.72214
SYRUP,2023-07-18,6.73528,6.76942,6.69413,6.73448
SYRUP,2023-07-19,6.74455,6.76869,6.00108,6.14694
SYRUP,2023-07-20,6.154,6.28437,6.0026,6.23244
SYRUP,2023-07-21,6.2335,6.32194,6.19032,6.31106
SYRUP,2023-07-22,6.32006,6.3547,5.81576,5.81964
SYRUP,2023-07-23,5.82564,5.89359,5.8077,5.86894
SYRUP,2023-07-24,5.88388,5.98262,5.82424,5.90435
SYRUP,2023-07-25,5.90935,5.91723,5.52539,5.71154
SYRUP,2023-07-26,5.69443,5.85906,5.66215,5.81523
SYRUP,2023-07-27,5.79023,5.82923,5.7705,5.78038
